run_id,date,session,runtime_utc,symbol,run_status,spot,gamma_flip,raw_flip,gamma_regime,net_gex,gex_percentile,atr_1d,net_vanna,vanna_percentile,vanna_regime,basic_mnav,ev_mnav,mnav_discount,btc_per_share_basic,btc_per_share_diluted,btc_holdings,btc_yield_ytd,nav_per_share,btc_nav,avg_cost_per_btc,total_shares,diluted_shares,cash_balance,debt_outstanding,current_iv,iv_rank,iv_percentile,iv_rank_method,iv_regime,iv_band,iv_skew_25d,put_call_oi_ratio,btc_price,btc_weekly_rsi,btc_mvrv,btc_realized_price,btc_cycle_zone,btc_taker_buy_sell_ratio,btc_funding_rate,btc_liq_total_usd,btc_liq_long_pct,btc_fear_greed,btc_gex_secondary_confirm,btc_mvrv_zscore,btc_pi_cycle_signal,btc_puell_multiple,btc_nupl,btc_reserve_risk,asst_drawdown_90d,asst_90d_high,risk_zone,market_closed,action_banner,csp_allowed,leap_add_allowed,leap_add_size,pmcc_allowed,pmcc_status,csp_band_low,csp_band_high,leap_core_band_low,leap_core_band_high,csp_delta_to_band,csp_magnet_proximity,csp_count,csp_top_strike,csp_top_expiry,csp_top_dte,csp_top_mid,csp_top_eff_basis,leap_core_count,leap_mid_count,leap_tail_count,leap_core_strikes,leap_mid_strikes,leap_tail_strikes,sata_price,sata_volume,sata_options_oi,asst_volume,asst_market_cap,leap_entry_percentile,leap_entry_score,pos_magnets,neg_magnets,notes,gamma_family,iv_band_label,cohort_id,cohort_id_v,data_health_flags,schema_version,fwd5,max_dd_5d,rv_5d,fwd10,max_dd_10d,rv_10d,fwd21,max_dd_21d,rv_21d,fwd63,max_dd_63d,rv_63d
14,2026-02-04,PM,2026-02-04T20:00:00+00:00,ASST,estimated,11.84000015258789,11.582,11.582,neutral,102201.0,6.67,1.72,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.701,0,0.7357,0.2485,0.0006419224,,,,0,WATCH,OFF,ALLOWED,FULL,OFF,,10.206,11.926,10.206,11.926,,,0,,,,,,2,1,1,"[11.0, 12.0]",[12.0],[14.0],,,,,,,2.0,"[{""strike"": 11.5, ""net_gex"": 213952}, {""strike"": 12.0, ""net_gex"": 187370}, {""strike"": 11, ""net_gex"": 174611}, {""strike"": 13.0, ""net_gex"": 144384}, {""strike"": 10.0, ""net_gex"": 122709}]",[],"[""Regime long_gamma_weak; spot 11.84, flip 11.58, ATR1d 1.7200."", ""Negative-gamma CSP basis band: [10.21, 11.93]."", ""Core LEAP strike band: [10.21, 11.93]."", ""Positive GEX magnets: 11.5 (GEX 2.14e+05), 12.0 (GEX 1.87e+05), 11.0 (GEX 1.75e+05), 13.0 (GEX 1.44e+05)"", ""CSP: no gamma-aligned candidates today."", ""LEAP core strikes: [11.0, 12.0]."", ""LEAP tail strikes: [14.0].""]",NEUTRAL,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|NEUTRAL,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.31672296889120866,-0.32102390444911677,2.4094043052033487,-0.3141892076931875,-0.3537557839767187,1.8039278373421597,-0.26520272828175917,-0.39865715612316943,1.6181355534940831,0.3480320772218435,-0.39865715612316943,1.2066727194985978
15,2026-02-05,PM,2026-02-05T20:00:00+00:00,ASST,estimated,9.859999656677246,10.6043,10.6043,short_gamma_strong,-179863.0,0.0,1.44,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.6168,0,0.6056,0.1476,0.0005631752,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,9.4523,10.8923,9.4523,10.8923,,,2,9.9,2026-03-20,43,2.05,7.85,2,1,1,"[10.0, 11.0]",[10.0],[12.0],,,,,,,3.0,"[{""strike"": 9.5, ""net_gex"": 190101}, {""strike"": 10.0, ""net_gex"": 182391}, {""strike"": 9, ""net_gex"": 144564}, {""strike"": 11.0, ""net_gex"": 132066}, {""strike"": 8.0, ""net_gex"": 128915}]",[],"[""Regime short_gamma_weak; spot 9.86, flip 10.60, ATR1d 1.4400."", ""Negative-gamma CSP basis band: [9.45, 10.89]."", ""Core LEAP strike band: [9.45, 10.89]."", ""Positive GEX magnets: 9.5 (GEX 1.90e+05), 10.0 (GEX 1.82e+05), 9.0 (GEX 1.45e+05), 11.0 (GEX 1.32e+05)"", ""CSP: top candidate 9.9P 2026-03-20 DTE 43 mid 2.05, eff basis 7.85."", ""LEAP core strikes: [10.0, 11.0]."", ""LEAP tail strikes: [12.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.21906692927208626,-0.3537557839767187,2.215071453870457,-0.1734280017939911,-0.3537557839767187,1.6166559507304021,-0.13691678243428573,-0.39865715612316943,1.4988413686137823,0.5628803789627177,-0.39865715612316943,1.1479754641207878
16,2026-02-06,PM,2026-02-06T20:00:00+00:00,ASST,estimated,11.914999961853027,10.9373,10.9373,long_gamma_weak,69127.0,3.33,1.9267,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.3219,0,0.6739,0.2263,0.0006190827,,,,0,WATCH,OFF,ALLOWED,FULL,ALLOWED,,9.396,11.3226,9.396,11.3226,,,0,,,,,,2,1,1,"[10.0, 11.0]",[12.0],[14.0],,,,,,,2.0,"[{""strike"": 12.0, ""net_gex"": 181698}, {""strike"": 11.5, ""net_gex"": 165308}, {""strike"": 11, ""net_gex"": 150285}, {""strike"": 13.0, ""net_gex"": 109397}, {""strike"": 10.0, ""net_gex"": 93011}]",[],"[""Regime neutral; spot 11.91, flip 10.94, ATR1d 1.9267."", ""Negative-gamma CSP basis band: [9.40, 11.32]."", ""Core LEAP strike band: [9.40, 11.32]."", ""Positive GEX magnets: 12.0 (GEX 1.82e+05), 11.5 (GEX 1.65e+05), 11.0 (GEX 1.50e+05), 13.0 (GEX 1.09e+05)"", ""CSP: no gamma-aligned candidates today."", ""LEAP core strikes: [10.0, 11.0]."", ""LEAP tail strikes: [14.0].""]",LONG,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|LONG,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.30088124629665813,-0.3537557839767187,1.4813554194981653,-0.38229121635936847,-0.38229121635936847,1.1631568099703313,-0.24632819379046367,-0.39865715612316943,1.3402948104306593,0.32036089386217137,-0.39865715612316943,1.0871062043507833
17,2026-02-09,PM,2026-02-09T20:00:00+00:00,ASST,estimated,10.145000457763672,10.6488,10.6488,short_gamma_strong,-298009.0,0.0,1.7825,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.5342,0,0.7901,0.2236,0.0006146562,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,9.2228,11.0053,9.2228,11.0053,,,3,9.6,2026-03-20,39,2.43,7.17,2,1,1,"[10.0, 11.0]",[10.0],[12.0],,,,,,,3.0,"[{""strike"": 10, ""net_gex"": 242795}, {""strike"": 10.5, ""net_gex"": 187953}, {""strike"": 11.0, ""net_gex"": 157763}, {""strike"": 9.0, ""net_gex"": 154509}, {""strike"": 12.0, ""net_gex"": 105249}]",[],"[""Regime short_gamma_strong; spot 10.15, flip 10.65, ATR1d 1.7825."", ""Negative-gamma CSP basis band: [9.22, 11.01]."", ""Core LEAP strike band: [9.22, 11.01]."", ""Positive GEX magnets: 10.0 (GEX 2.43e+05), 10.5 (GEX 1.88e+05), 11.0 (GEX 1.58e+05), 9.0 (GEX 1.55e+05)"", ""CSP: top candidate 9.6P 2026-03-20 DTE 39 mid 2.43, eff basis 7.17."", ""LEAP core strikes: [10.0, 11.0]."", ""LEAP tail strikes: [12.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.1936914799332644,-0.24100547443814535,1.27128974622633,-0.29374079462264957,-0.29374079462264957,0.9798644618086807,-0.09019229908729287,-0.29374079462264957,1.2339578638761386,0.7673730104446368,-0.29374079462264957,1.0631321819231816
18,2026-02-10,PM,2026-02-10T20:00:00+00:00,ASST,estimated,9.180000305175781,10.09800033569336,9.5472,short_gamma_strong,-300274.0,0.0,1.684,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.5333,0,0.6899,0.2077,0.0006013303,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,8.7508,10.4348,8.7508,10.4348,,,2,9.2,2026-03-27,45,2.14,7.06,2,1,1,"[10.0, 10.0]",[9.0],[11.0],,,,,,,3.0,"[{""strike"": 9, ""net_gex"": 194395}, {""strike"": 9.5, ""net_gex"": 167430}, {""strike"": 8.0, ""net_gex"": 154954}, {""strike"": 10.0, ""net_gex"": 132554}, {""strike"": 11.0, ""net_gex"": 107102}]",[],"[""Regime short_gamma_strong; spot 9.18, flip 10.10, ATR1d 1.6840."", ""Negative-gamma CSP basis band: [8.75, 10.43]."", ""Core LEAP strike band: [8.75, 10.43]."", ""Positive GEX magnets: 9.0 (GEX 1.94e+05), 9.5 (GEX 1.67e+05), 8.0 (GEX 1.55e+05), 10.0 (GEX 1.33e+05)"", ""CSP: top candidate 9.2P 2026-03-27 DTE 45 mid 2.14, eff basis 7.06."", ""LEAP core strikes: [10.0, 10.0]."", ""LEAP tail strikes: [11.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.1230936902914711,-0.16122009223422407,1.170267813894412,-0.06971681068048707,-0.21949894077745025,1.3665089562074137,-0.03812640194275296,-0.21949894077745025,1.1941332860283793,0.8453158427945857,-0.21949894077745025,1.0485528236643553
19,2026-02-11,PM,2026-02-11T20:00:00+00:00,ASST,estimated,8.09000015258789,8.89900016784668,7.7,short_gamma_strong,-224077.0,0.0,1.592,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4844,0,0.7331,0.1882,0.0005859662,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,7.6254,9.2174,7.6254,9.2174,,,2,8.1,2026-04-03,51,2.32,5.78,2,1,1,"[8.0, 9.0]",[8.0],[10.0],,,,,,,3.0,"[{""strike"": 8, ""net_gex"": 197612}, {""strike"": 8.5, ""net_gex"": 132597}, {""strike"": 9.0, ""net_gex"": 116153}, {""strike"": 7.0, ""net_gex"": 109084}, {""strike"": 10.0, ""net_gex"": 102435}]",[],"[""Regime short_gamma_strong; spot 8.09, flip 8.90, ATR1d 1.5920."", ""Negative-gamma CSP basis band: [7.63, 9.22]."", ""Core LEAP strike band: [7.63, 9.22]."", ""Positive GEX magnets: 8.0 (GEX 1.98e+05), 8.5 (GEX 1.33e+05), 9.0 (GEX 1.16e+05), 7.0 (GEX 1.09e+05)"", ""CSP: top candidate 8.1P 2026-04-03 DTE 51 mid 2.32, eff basis 5.78."", ""LEAP core strikes: [8.0, 9.0]."", ""LEAP tail strikes: [10.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,0.0037082487522073215,-0.0482077053111053,0.764823392852022,0.012360868468392017,-0.13985593907841398,1.2178817163811153,0.1779974725862845,-0.13985593907841398,1.1326023651722599,,,
20,2026-02-12,PM,2026-02-12T20:00:00+00:00,ASST,estimated,7.699999809265137,8.46999979019165,8.041,short_gamma_strong,-111307.0,0.0,1.532,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4282,0,0.8196,0.1794,0.0005787611,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,7.2444,8.7764,7.2444,8.7764,,,2,7.7,2026-03-27,43,2.05,5.65,2,1,1,"[8.0, 8.0]",[8.0],[10.0],,,,,,,3.0,"[{""strike"": 8.0, ""net_gex"": 193411}, {""strike"": 7.5, ""net_gex"": 153341}, {""strike"": 7, ""net_gex"": 132078}, {""strike"": 6.0, ""net_gex"": 120764}, {""strike"": 9.0, ""net_gex"": 109758}]",[],"[""Regime short_gamma_weak; spot 7.70, flip 8.47, ATR1d 1.5320."", ""Negative-gamma CSP basis band: [7.24, 8.78]."", ""Core LEAP strike band: [7.24, 8.78]."", ""Positive GEX magnets: 8.0 (GEX 1.93e+05), 7.5 (GEX 1.53e+05), 7.0 (GEX 1.32e+05), 6.0 (GEX 1.21e+05)"", ""CSP: top candidate 7.7P 2026-03-27 DTE 43 mid 2.05, eff basis 5.65."", ""LEAP core strikes: [8.0, 8.0]."", ""LEAP tail strikes: [10.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,0.05844153511843819,-0.0336134136297348,0.6257330102813558,0.031168864142897545,-0.13985593907841398,1.1998234157650682,0.41038960073866404,-0.13985593907841398,1.1883733517845192,,,
21,2026-02-13,PM,2026-02-13T20:00:00+00:00,ASST,estimated,8.329999923706055,8.5066,8.5432,short_gamma_strong,-120707.0,0.0,1.144,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4036,0,0.708,0.2119,0.0006010875,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,7.5914,8.7354,7.5914,8.7354,,,3,7.8,2026-04-03,49,1.66,6.14,2,1,1,"[8.0, 9.0]",[8.0],[10.0],,,,,,,3.0,"[{""strike"": 8.5, ""net_gex"": 200355}, {""strike"": 9.0, ""net_gex"": 177741}, {""strike"": 8, ""net_gex"": 164050}, {""strike"": 10.0, ""net_gex"": 128229}, {""strike"": 7.0, ""net_gex"": 116179}]",[],"[""Regime short_gamma_weak; spot 8.33, flip 8.51, ATR1d 1.1440."", ""Negative-gamma CSP basis band: [7.59, 8.74]."", ""Core LEAP strike band: [7.59, 8.74]."", ""Positive GEX magnets: 8.5 (GEX 2.00e+05), 9.0 (GEX 1.78e+05), 8.0 (GEX 1.64e+05), 10.0 (GEX 1.28e+05)"", ""CSP: top candidate 7.8P 2026-04-03 DTE 49 mid 1.66, eff basis 6.14."", ""LEAP core strikes: [8.0, 9.0]."", ""LEAP tail strikes: [10.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.11644655451090247,-0.11644655451090247,0.710167204638134,0.0480191623281927,-0.13985593907841398,1.2307701668726687,0.33253307120455355,-0.13985593907841398,1.1669706934693884,,,
22,2026-02-17,PM,2026-02-17T20:00:00+00:00,ASST,estimated,8.180000305175781,8.1384,8.1384,neutral,248313.0,83.33,1.0272,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.496,0,0.779,0.1963,0.0005879647,,,,0,WATCH,OFF,ALLOWED,FULL,OFF,,7.3166,8.3438,7.3166,8.3438,,,0,,,,,,2,1,1,"[8.0, 8.0]",[8.0],[10.0],,,,,,,2.0,"[{""strike"": 8, ""net_gex"": 177639}, {""strike"": 8.5, ""net_gex"": 174139}, {""strike"": 7.0, ""net_gex"": 149253}, {""strike"": 9.0, ""net_gex"": 125928}, {""strike"": 10.0, ""net_gex"": 78675}]",[],"[""Regime long_gamma_weak; spot 8.18, flip 8.14, ATR1d 1.0272."", ""Negative-gamma CSP basis band: [7.32, 8.34]."", ""Core LEAP strike band: [7.32, 8.34]."", ""Positive GEX magnets: 8.0 (GEX 1.78e+05), 8.5 (GEX 1.74e+05), 7.0 (GEX 1.49e+05), 9.0 (GEX 1.26e+05)"", ""CSP: no gamma-aligned candidates today."", ""LEAP core strikes: [8.0, 8.0]."", ""LEAP tail strikes: [10.0].""]",NEUTRAL,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|NEUTRAL,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.12408316692610954,-0.12408316692610954,0.7077626756531809,0.018337360994395535,-0.12408316692610954,1.253945214105802,0.22677255171526123,-0.12408316692610954,1.2289172182605392,,,
23,2026-02-18,PM,2026-02-18T20:00:00+00:00,ASST,estimated,8.050000190734863,7.9357,7.733,neutral,315290.0,86.67,0.8912,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4144,0,0.7148,0.1853,0.0005782554,,,,0,WATCH,OFF,ALLOWED,FULL,OFF,,7.2227,8.1139,7.2227,8.1139,,,0,,,,,,2,1,1,"[7.0, 8.0]",[8.0],[10.0],,,,,,,2.0,"[{""strike"": 8, ""net_gex"": 194867}, {""strike"": 8.5, ""net_gex"": 189191}, {""strike"": 7.0, ""net_gex"": 162359}, {""strike"": 9.0, ""net_gex"": 147602}, {""strike"": 10.0, ""net_gex"": 83797}]",[],"[""Regime long_gamma_strong; spot 8.05, flip 7.94, ATR1d 0.8912."", ""Negative-gamma CSP basis band: [7.22, 8.11]."", ""Core LEAP strike band: [7.22, 8.11]."", ""Positive GEX magnets: 8.0 (GEX 1.95e+05), 8.5 (GEX 1.89e+05), 7.0 (GEX 1.62e+05), 9.0 (GEX 1.48e+05)"", ""CSP: no gamma-aligned candidates today."", ""LEAP core strikes: [7.0, 8.0]."", ""LEAP tail strikes: [10.0].""]",NEUTRAL,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|NEUTRAL,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,0.06086953534263628,-0.12085885923696227,1.6135393320718172,0.19503101336956585,-0.12085885923696227,1.434462793767575,0.27453415972468775,-0.12085885923696227,1.2259511170263098,,,
24,2026-02-19,PM,2026-02-19T20:00:00+00:00,ASST,estimated,8.119999885559082,7.9693,8.0029,neutral,273925.0,86.67,0.7198,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4144,0,0.7376,0.1901,0.0005824045,,,,0,WATCH,OFF,ALLOWED,FULL,OFF,,7.3935,8.1133,7.3935,8.1133,,,0,,,,,,2,1,1,"[7.0, 8.0]",[8.0],[10.0],,,,,,,2.0,"[{""strike"": 8.5, ""net_gex"": 205096}, {""strike"": 8, ""net_gex"": 190610}, {""strike"": 7.0, ""net_gex"": 162988}, {""strike"": 10.0, ""net_gex"": 116294}, {""strike"": 9.0, ""net_gex"": 92092}]",[],"[""Regime long_gamma_weak; spot 8.12, flip 7.97, ATR1d 0.7198."", ""Negative-gamma CSP basis band: [7.39, 8.11]."", ""Core LEAP strike band: [7.39, 8.11]."", ""Positive GEX magnets: 8.5 (GEX 2.05e+05), 8.0 (GEX 1.91e+05), 7.0 (GEX 1.63e+05), 10.0 (GEX 1.16e+05)"", ""CSP: no gamma-aligned candidates today."", ""LEAP core strikes: [7.0, 8.0]."", ""LEAP tail strikes: [10.0].""]",NEUTRAL,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|NEUTRAL,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,0.0086206521934451,-0.12085885923696227,1.658968270801551,0.13916257763138073,-0.12085885923696227,1.4628769559367738,0.23399022154958682,-0.12085885923696227,1.2320122993862952,,,
25,2026-02-20,PM,2026-02-20T20:00:00+00:00,ASST,estimated,8.149999618530273,8.0611,8.1529,neutral,223870.0,80.0,0.6958,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4319,0,0.644,0.2031,0.000590997,,,,0,WATCH,OFF,ALLOWED,FULL,OFF,,7.5045,8.2003,7.5045,8.2003,,,0,,,,,,2,1,1,"[8.0, 8.0]",[8.0],[10.0],,,,,,,2.0,"[{""strike"": 8, ""net_gex"": 191091}, {""strike"": 9.0, ""net_gex"": 141873}, {""strike"": 8.5, ""net_gex"": 136072}, {""strike"": 7.0, ""net_gex"": 124994}, {""strike"": 10.0, ""net_gex"": 108366}]",[],"[""Regime long_gamma_weak; spot 8.15, flip 8.06, ATR1d 0.6958."", ""Negative-gamma CSP basis band: [7.50, 8.20]."", ""Core LEAP strike band: [7.50, 8.20]."", ""Positive GEX magnets: 8.0 (GEX 1.91e+05), 9.0 (GEX 1.42e+05), 8.5 (GEX 1.36e+05), 7.0 (GEX 1.25e+05)"", ""CSP: no gamma-aligned candidates today."", ""LEAP core strikes: [8.0, 8.0]."", ""LEAP tail strikes: [10.0].""]",NEUTRAL,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|NEUTRAL,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,-0.025766818544671888,-0.12085885923696227,1.6745764422448555,0.06748468913843308,-0.12085885923696227,1.5101118911118192,0.2809816035630679,-0.12085885923696227,1.2363896863471022,,,
26,2026-02-23,PM,2026-02-23T20:00:00+00:00,ASST,estimated,7.360000133514404,7.8572,7.8572,short_gamma_strong,-121685.0,0.0,0.6428,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.4567,0,0.6749,0.1621,0.0005605127,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,7.343,7.9858,7.343,7.9858,,,2,7.4,2026-04-17,53,0.96,6.44,2,1,1,"[7.0, 8.0]",[7.0],[9.0],,,,,,,3.0,"[{""strike"": 7.5, ""net_gex"": 178871}, {""strike"": 8.0, ""net_gex"": 172384}, {""strike"": 7, ""net_gex"": 156533}, {""strike"": 9.0, ""net_gex"": 109072}, {""strike"": 6.0, ""net_gex"": 104523}]",[],"[""Regime short_gamma_weak; spot 7.36, flip 7.86, ATR1d 0.6428."", ""Negative-gamma CSP basis band: [7.34, 7.99]."", ""Core LEAP strike band: [7.34, 7.99]."", ""Positive GEX magnets: 7.5 (GEX 1.79e+05), 8.0 (GEX 1.72e+05), 7.0 (GEX 1.57e+05), 9.0 (GEX 1.09e+05)"", ""CSP: top candidate 7.4P 2026-04-17 DTE 53 mid 0.96, eff basis 6.44."", ""LEAP core strikes: [7.0, 8.0]."", ""LEAP tail strikes: [9.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,0.18614122063442795,-0.07025760038790196,1.5354212084911885,0.15625001012307127,-0.11538458106881122,1.398549831861014,0.3491847995978501,-0.11538458106881122,1.188383006809134,,,
27,2026-02-24,PM,2026-02-24T20:00:00+00:00,ASST,estimated,7.164999961853027,7.6645,7.4718,short_gamma_strong,-58573.0,0.0,0.5756,,,,,,,,,,,,,,,,,,110.1,3.2,8.6,RV,CHEAP_VOL,0,,,,,,,UNKNOWN,,,,,,,0.355,0,0.7331,0.1555,0.0005551427,,,,0,WATCH,ALLOWED,ALLOWED,FULL,OFF,,7.204,7.7796,7.204,7.7796,,,1,7.7,2026-04-10,45,1.28,6.42,2,1,1,"[7.0, 8.0]",[7.0],[9.0],,,,,,,3.0,"[{""strike"": 7.5, ""net_gex"": 187288}, {""strike"": 7, ""net_gex"": 180463}, {""strike"": 8.0, ""net_gex"": 135859}, {""strike"": 6.0, ""net_gex"": 126307}, {""strike"": 9.0, ""net_gex"": 85401}]",[],"[""Regime short_gamma_weak; spot 7.16, flip 7.66, ATR1d 0.5756."", ""Negative-gamma CSP basis band: [7.20, 7.78]."", ""Core LEAP strike band: [7.20, 7.78]."", ""Positive GEX magnets: 7.5 (GEX 1.87e+05), 7.0 (GEX 1.80e+05), 8.0 (GEX 1.36e+05), 6.0 (GEX 1.26e+05)"", ""CSP: top candidate 7.7P 2026-04-10 DTE 45 mid 1.28, eff basis 6.42."", ""LEAP core strikes: [7.0, 8.0]."", ""LEAP tail strikes: [9.0].""]",SHORT,EXTREME_CHEAP,UNKNOWN|EXTREME_CHEAP|SHORT,1.5,btc_weekly_rsi;btc_mvrv;btc_realized_price;btc_taker_buy_sell_ratio;btc_funding_rate;net_vanna;vanna_percentile;basic_mnav;ev_mnav;mnav_discount;btc_per_share_basic,1.5,0.16259594808870492,-0.07025760038790196,1.5911836823712706,0.25331466713837947,-0.11538458106881122,1.390301718460343,0.5143057137803078,-0.11538458106881122,1.205236814938001,,,
